Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Custom field (Account),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Iteration),Custom field (Rank),Sprint,Custom field (Story Points),Custom field (Team),Custom field (Team Role)
Binding actual data from backend with home page of karma app,KAR-345,14471,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,muhammed.ruhail,muhammed.ruhail,muhammed.ruhail,29/Oct/19 1:53 PM,29/Oct/19 1:54 PM,12/Nov/19 10:38 AM,29/Oct/19 1:54 PM,,,,0,,,,";29/Oct/19 1:53 PM;muhammed.ruhail;11700",,,,10800,0,11700,108%,10800,0,11700,,,,,,,,,,"0|i00qwf:",KAR Sprint 2,,,
dump file creation ,KAR-336,14278,11055,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,anjali.chandran,anjali.chandran,anjali.chandran,26/Oct/19 9:22 AM,26/Oct/19 12:43 PM,12/Nov/19 10:38 AM,26/Oct/19 12:43 PM,Database,,,0,dump file creation,,,"done;26/Oct/19 12:42 PM;anjali.chandran;9900",,,,10800,0,9900,91%,10800,0,9900,,KAR-68,,,,,,,,"0|i00ps7:",KAR Sprint 2,,,
Refactoring dump files,KAR-329,14231,11055,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,anjali.chandran,anjali.chandran,anjali.chandran,25/Oct/19 10:22 AM,25/Oct/19 2:11 PM,12/Nov/19 10:38 AM,25/Oct/19 2:11 PM,Database,,,0,Refactoring dump files,,,"creating dumps for karma;25/Oct/19 2:10 PM;anjali.chandran;9480",,,,10800,0,9480,87%,10800,0,9480,,KAR-68,,,,,,,,"0|i00phr:",KAR Sprint 2,,,
Create registered user,KAR-305,13752,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,15/Oct/19 10:12 AM,19/Oct/19 10:18 AM,12/Nov/19 10:38 AM,19/Oct/19 10:18 AM,Server side,,,0,Create registered user,,sarangibalu.a,,,,,7200,7200,,0%,14400,7200,8700,,KAR-1,,,,KAR-1,,,,"0|i00mlb:",KAR Sprint 2,,,
Add registered user ,KAR-306,13753,13752,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,15/Oct/19 10:14 AM,15/Oct/19 12:40 PM,12/Nov/19 10:38 AM,15/Oct/19 12:40 PM,Server side,,,0,Add registered user,,sarangibalu.a,"completed;15/Oct/19 12:40 PM;sarangibalu.a;8700",,,,7200,0,8700,120%,7200,0,8700,,KAR-305,,,,,,,,"0|i00mlj:",KAR Sprint 2,,,
Problem with liking comments and showin love numbers,KAR-268,13169,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,02/Oct/19 2:58 PM,05/Oct/19 11:48 PM,12/Nov/19 10:38 AM,02/Oct/19 10:31 PM,,,,0,,,,"Likes work properly;02/Oct/19 3:51 PM;sanilkumar.p;3180",,,,3600,420,3180,88%,3600,420,3180,,,,,,,,,,"0|i00j1b:",KAR Sprint 2,,,
Refactoring of our project design,KAR-275,13253,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,03/Oct/19 12:57 PM,03/Oct/19 4:12 PM,12/Nov/19 10:38 AM,03/Oct/19 4:12 PM,Database,Server side,,0,Refactoring of our project design,,sarangibalu.a,,,,,,,,,7200,0,7380,,KAR-1,,,,KAR-1,,,,"0|i00jjz:",KAR Sprint 2,,,
Refactoring jdl and creating project,KAR-276,13258,13253,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,03/Oct/19 1:47 PM,03/Oct/19 4:12 PM,12/Nov/19 10:38 AM,03/Oct/19 4:12 PM,Server side,,,0,Refactoring jdl and creating project,,sarangibalu.a,"refactored jdl;03/Oct/19 3:18 PM;sarangibalu.a;5400","Completed;03/Oct/19 4:12 PM;sarangibalu.a;1980",,,7200,0,7380,102%,7200,0,7380,,KAR-275,,,,,,,,"0|i00jl3:",KAR Sprint 2,,,
Design page which shows replies,KAR-270,13182,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,02/Oct/19 10:32 PM,03/Oct/19 1:49 PM,12/Nov/19 10:38 AM,03/Oct/19 1:49 PM,,,,0,,,,"Designed reply page as a replica of comments;03/Oct/19 9:49 AM;sanilkumar.p;3600",,,,3600,0,3600,100%,3600,0,3600,,,,,,,,,,"0|i00j47:",KAR Sprint 2,,,
Make correction in the page showing,KAR-259,13147,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,02/Oct/19 10:06 AM,02/Oct/19 12:17 PM,12/Nov/19 10:38 AM,02/Oct/19 12:17 PM,,,,0,,,,"Design corrected with love icon;02/Oct/19 12:17 PM;sanilkumar.p;7020",,,,7200,180,7020,97%,7200,180,7020,,,,,,,,,,"0|i00iwn:",KAR Sprint 2,,,
Users like others feeds,KAR-228,12863,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,28/Sep/19 2:10 PM,02/Oct/19 9:33 AM,12/Nov/19 10:38 AM,02/Oct/19 9:33 AM,,,,0,,,,"Double tap event added;28/Sep/19 7:23 PM;sanilkumar.p;1680","Array is needed to finish the remaining work;28/Sep/19 7:34 PM;sanilkumar.p;660",,,3600,1260,2340,65%,3600,1260,2340,,,,,,,,,,"0|i00h5r:",KAR Sprint 2,,,
Design page displaying comments,KAR-256,13061,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,01/Oct/19 3:48 PM,02/Oct/19 9:28 AM,12/Nov/19 10:38 AM,02/Oct/19 9:28 AM,,,,0,,,,"Not completed..needs more styling modal;01/Oct/19 5:13 PM;sanilkumar.p;7020",,,,7200,180,7020,97%,7200,180,7020,,,,,,,,,,"0|i00idj:",KAR Sprint 2,,,
